Inf,Name,UID,Best Pos,Best Role,Best Duty,Pros,Cons,Position,Club,On Loan From,Based,Asking Price,Salary,Expires,Nat,2nd Nat,Home Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Yth Gls,Yth Apps,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Goals Outside Box,FK Shots,OP-Cr %,Tck A,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,Gl Mst,Hdrs L/90,K Tck/90,K Hdrs/90,Sprints/90,xGP/90,Blk,xG/shot,xGP,Clr/90,Blk/90,Conv %,Crs A/90,Cr C/90,Dist/90,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,All/90,Shutouts,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,AT Apps,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Pts/Gm,NP-xG/90,NP-xG,Last Gl,Last C,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Won,G. Mis,Lost,D,Gwin,xG/90,xG-OP,xA/90,xA,Cln/90,Mins/Gl,AT Lge Gls,AT Lge Apps,AT Gls,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,decimal_height,decimal_weight
,Franck Kouamejo Nankep,2000118900,-,Unknown,Unknown,Unknown,Unknown,D (C),Colombe Sportive,Fovu Club,Cameroon (Elite One),-,"$3,900 p/a",2027-06-30,CMR,,-,"6'2""",187 lbs,Unknown,31.0,,Scouting Required,Unknown,0 (1),,16.0,16.0,6.6,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,1.0,,9.0,,9.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,1.0,,0.0,,1.0,,,,1.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,1.4,1.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,0.0,26.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,1.0,,,0.0,,0.0,,,1.0,26.0,1.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,187
Ask,Ayoub Abdellaoui,13176434,D (C),Ball Playing Defender,Stopper,Heading,Speed,D (LC),MC Alger,,Algeria (Ligue 1),-,"$178,000 p/a",,ALG,,-,"6'0""",158 lbs,Left Only,32.0,,Scouting Required,$45K - $425K,3 (1),3.0,315.0,157.5,6.83,,9.0,0.0,,1.0,0.0,0.0,0.29,0.0,0.0,0.0,,0.0,0.18,0.0,,0.0,,1.0,0.29,227.0,64.86,214.0,61.14,0.94,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,5.71,20.0,0.29,1.0,2.0,7.0,16.0,2.57,0.29,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.29,5.71,,2.0,0.18,,0.86,0.57,,0.0,0.0,0.0,,3.0,24.4,21.0,6.0,14.0,4.0,0.67,0.0,1.0,0.29,,1.0,1.0,0.0,10.0,2.86,3.0,,,,,,,,,,,,0.0,242.0,,3.67,1.0,,6.0,3.3,0.05,0.18,,,,,,,,,3.0,,1.0,0.0,,0.05,-0.18,0.07,0.26,,,4.0,228.0,5.0,,,,,,,,,,,,,,,,,,9-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,158
Ctr,Vusi Sibiya,65043297,-,Unknown,Unknown,Unknown,Unknown,D (C),Black Stars (MLI),,Mali (Ligue 1 Orange Mali),-,N/A,,RSA,,-,"6'4""",191 lbs,Unknown,29.0,,Scouting Required,Unknown,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,119.0,1.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,191
,Siphelo Baloni,65045451,M (C),Mezzala,Support,Speed,Team Player,"DM, M (LC), AM (C)",Mikhado FC,,South Africa (NFD),-,"$42,000 p/a",2026-06-30,RSA,,-,"5'11""",154 lbs,Right,25.0,,Scouting Required,Unknown,8,8.0,690.0,86.25,6.96,,,0.0,,4.0,0.0,0.0,0.52,0.0,0.0,0.0,,1.0,0.2,2.0,0.26,0.0,,6.0,0.78,389.0,50.74,350.0,45.65,0.9,48.0,3.0,,5.0,1.0,0.0,0.06,23.0,0.26,0.13,1.0,3.91,30.0,3.0,23.0,8.09,62.0,11.09,8.61,0.78,6.0,0.0,0.0,0.26,2.0,0.0,3.13,0.26,0.0,9.39,,3.0,0.05,,1.04,0.39,,6.26,0.39,0.0,0.65,6.0,59.8,30.0,3.91,6.0,0.78,0.2,2.0,21.0,2.74,,6.0,1.0,0.0,10.0,1.3,8.0,,,,,,,,,,,,0.0,124.0,,0.52,1.3,,4.0,0.8,0.03,0.2,,,,,,,,,1.0,,5.0,2.0,,0.03,-0.2,0.21,1.61,,,6.0,124.0,6.0,,,,,,,,,,,,,,,,,,14-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,154
,Goni Ali,2000097356,-,Unknown,Unknown,Unknown,Unknown,D (C),Cotonsport,,Cameroon (Elite One),-,"$13,750 p/a",2027-06-30,CMR,,-,"6'1""",154 lbs,Unknown,24.0,,Scouting Required,Unknown,5,5.0,406.0,226.0,6.68,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.22,167.0,37.02,129.0,28.6,0.77,0.0,0.0,,1.0,0.0,0.0,,6.0,0.0,0.0,0.0,2.0,9.0,2.66,12.0,5.76,26.0,16.63,7.09,0.22,1.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,2.22,2.22,,1.0,0.0,,1.33,0.22,,0.0,0.0,0.0,0.22,2.0,28.8,43.0,9.53,35.0,7.76,0.81,0.0,5.0,1.11,,5.0,1.0,0.0,5.0,1.11,6.0,,,,,,,,,,,,0.0,59.0,,3.67,3.04,,4.0,4.75,0.0,0.0,,,,,,,,,3.0,,1.0,1.0,,0.0,0.0,0.02,0.08,,,,41.0,1.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,154
,Brian Ngwang,2000044750,-,Unknown,Unknown,Unknown,Unknown,D (C),PWD Bamenda,,Cameroon (Elite One),-,"$11,000 p/a",2026-06-30,CMR,,-,"5'10""",171 lbs,Unknown,27.0,,Scouting Required,Unknown,2,2.0,180.0,90.0,6.8,,,0.0,,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,3.0,1.5,115.0,57.5,96.0,48.0,0.83,16.0,1.0,,0.0,0.0,0.0,0.06,1.0,0.5,0.5,1.0,5.0,10.0,0.5,1.0,1.5,3.0,13.0,2.5,1.0,2.0,0.0,0.0,1.0,2.0,0.0,5.5,0.0,1.0,6.5,,2.0,0.0,,2.0,1.0,,8.0,0.5,0.0,,0.0,14.2,21.0,10.5,10.0,5.0,0.48,0.0,1.0,0.5,,0.0,0.0,0.0,1.0,0.5,4.0,,,,,,,,,,,,0.0,49.0,,1.0,1.5,,2.0,1.3,0.0,0.0,,,,,,,,,0.0,,1.0,1.0,,0.0,0.0,0.0,0.0,,,2.0,46.0,2.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,171
Ctr,Bernard Honey,2002081589,D (R),Full-Back,Defend,Athleticism,Heading,"D (RL), WB (L)",Tete Atenpong,,Ghana (Lower Division),-,N/A,,GHA,,-,"6'0""",158 lbs,Right,26.0,Balanced,Media-friendly,$0,1 (1),1.0,101.0,101.0,8.9,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,1.0,0.89,0.0,,40.0,35.64,30.0,26.73,0.75,0.0,0.0,,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,6.0,5.35,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,36.0,,0.0,0.0,,0.0,2.9,0.0,0.0,,,,,,,,,0.0,,0.0,2.0,,0.0,0.0,0.23,0.26,,,,36.0,,6.0,6.0,1.0,9.0,10.0,9.0,3.0,11.0,1.0,1.0,3.0,8.0,3.0,6.0,8.0,2.0,5.0,14,10.0,1.0,3.0,11.0,2.0,10.0,3.0,3.0,1.0,7.0,10.0,2.0,4.0,1.0,7.0,12.0,8.0,3.0,8.0,3.0,4.0,3.0,9.0,12.0,6.0,8.0,13.0,4.0,7.0,6.0,158
,Ryan Baartman,65033201,D (C),Central Defender,Defend,Heading,Team Player,D (C),Swallows,Sekhukhune Utd,South Africa (NFD),-,"$33,500 p/a",2026-06-30,RSA,,-,"6'4""",187 lbs,Right,27.0,Balanced,Media-friendly,$28K,2,2.0,180.0,90.0,6.35,,,0.0,,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.08,0.0,,0.0,,1.0,0.5,104.0,52.0,90.0,45.0,0.87,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,0.0,0.5,1.0,5.5,11.0,1.5,3.0,3.0,6.0,22.5,4.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,3.0,0.5,0.5,3.0,,0.0,0.08,,1.0,,,0.5,0.0,0.0,0.5,0.0,13.1,25.0,12.5,19.0,9.5,0.76,1.0,3.0,1.5,,1.0,0.0,0.0,1.0,0.5,2.0,,,,,,,,,,,,0.0,79.0,,0.5,1.0,,1.0,1.3,0.04,0.08,,,,,,,,,0.0,,1.0,1.0,,0.04,-0.08,0.0,0.0,,,3.0,79.0,3.0,10.0,8.0,1.0,4.0,8.0,14.0,9.0,11.0,2.0,2.0,2.0,11.0,2.0,10.0,11.0,1.0,8.0,13,11.0,8.0,8.0,4.0,3.0,12.0,12.0,1.0,5.0,5.0,9.0,3.0,2.0,8.0,7.0,10.0,3.0,5.0,11.0,9.0,3.0,3.0,9.0,9.0,12.0,8.0,13.0,2.0,12.0,6.33,187
Loa,Emmanuel Owusu,2000110647,M (C),Central Midfielder,Attack,Speed,Marking,M (C),Eleven Wonders,,Ghana (Premier League),-,"$7,000 p/a",2026-07-31,GHA,,-,"5'11""",152 lbs,Right,23.0,Balanced,Media-friendly,$1K - $12K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,28.0,1.0,12.0,11.0,3.0,8.0,8.0,7.0,4.0,7.0,2.0,3.0,2.0,8.0,4.0,9.0,13.0,2.0,8.0,13,12.0,1.0,9.0,12.0,3.0,7.0,1.0,3.0,2.0,8.0,13.0,7.0,3.0,6.0,7.0,10.0,2.0,5.0,6.0,9.0,3.0,3.0,7.0,7.0,8.0,13.0,15.0,2.0,9.0,5.92,152
FrA,Sphamandla Gumede,2000277489,GK,Goalkeeper,Defend,Reflexes,,GK,,,South Africa,-,-,,RSA,,-,"5'11""",158 lbs,Right,26.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,6.0,7.0,10.0,3.0,8.0,2.0,6.0,2.0,6.0,14.0,13.0,12.0,2.0,7.0,12.0,8.0,3.0,11,2.0,3.0,2.0,6.0,11.0,11.0,1.0,13.0,5.0,2.0,2.0,1.0,10.0,2.0,7.0,11.0,1.0,3.0,7.0,8.0,11.0,9.0,15.0,8.0,6.0,9.0,11.0,12.0,11.0,5.92,158
,Emmanuel Essandoh,2000137794,GK,Goalkeeper,Defend,Handling,,GK,Karela FC,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"6'0""",158 lbs,Right,29.0,Balanced,Media-friendly,$2.5K,5,5.0,450.0,90.0,6.82,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,59.0,11.8,26.0,5.2,0.44,,,,0.0,,,,1.0,,,,0.2,1.0,0.0,0.0,0.0,0.0,1.4,8.6,0.0,0.0,,,,,0.0,,0.0,0.0,0.2,-0.18,,0.0,-0.9,10.2,,,,,0.0,,0.0,12.5,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.4,,11.0,2.2,1.0,-3.97,7.0,8.0,13.0,-0.02,1.0,0.0,,0.0,67.0,5.0,1.8,2.2,11.0,9.0,1.45,0.0,0.0,,3.0,,,,,,,2.0,,2.0,1.0,,0.0,0.0,0.02,0.08,0.2,,,65.0,,4.0,6.0,9.0,3.0,7.0,1.0,6.0,5.0,5.0,13.0,10.0,12.0,1.0,8.0,11.0,7.0,1.0,17,1.0,3.0,3.0,10.0,12.0,7.0,1.0,13.0,5.0,3.0,2.0,3.0,5.0,1.0,7.0,13.0,2.0,4.0,6.0,6.0,7.0,5.0,10.0,7.0,11.0,12.0,5.0,10.0,11.0,6.0,158
Loa,Elia Kofi Jr.,2000109965,M (C),Mezzala,Support,Speed,Marking,"DM, M (C)",King Faisal,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"5'8""",147 lbs,Right,21.0,Balanced,Media-friendly,$26K - $80K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,46.0,1.0,12.0,10.0,4.0,9.0,7.0,11.0,5.0,8.0,3.0,3.0,3.0,5.0,5.0,8.0,12.0,3.0,8.0,9,9.0,1.0,8.0,5.0,2.0,6.0,6.0,3.0,4.0,6.0,12.0,7.0,1.0,5.0,7.0,12.0,5.0,3.0,5.0,7.0,3.0,1.0,8.0,8.0,10.0,14.0,13.0,2.0,14.0,5.67,147
,Kauã,19380057,D (C),Central Defender,Defend,Heading,Team Player,D (C),Real Boyacá,,Colombia (U20 Division 1),-,"$6,500 p/a",2026-06-30,BRA,,-,"6'1""",171 lbs,Right,22.0,Fairly Ambitious,Media-friendly,$30K - $100K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,4.0,12.0,8.0,5.0,4.0,2.0,3.0,11.0,1.0,1.0,7.0,2.0,4.0,13,12.0,3.0,3.0,9.0,2.0,10.0,12.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,7.0,12.0,1.0,1.0,7.0,5.0,1.0,2.0,7.0,5.0,5.0,9.0,7.0,4.0,11.0,6.08,171
,Dominic Nsobila,2000140391,DM,Deep Lying Playmaker,Support,Speed,Marking,"DM, M (C)",Accra Lions FC,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"5'7""",149 lbs,Right Only,22.0,Balanced,Media-friendly,$240K,2 (1),2.0,196.0,65.33,6.97,,,0.0,,5.0,2.0,0.4,2.3,0.92,0.0,0.0,,0.0,0.22,3.0,1.38,0.0,,6.0,2.76,143.0,65.66,130.0,59.69,0.91,3.0,0.0,,0.0,0.0,1.0,0.0,4.0,2.3,0.46,1.0,5.97,13.0,4.13,9.0,9.18,20.0,10.56,6.43,2.3,5.0,0.0,0.0,0.46,1.0,0.0,1.84,0.0,0.0,8.72,,1.0,0.04,,0.46,0.46,,1.38,0.0,0.0,,0.0,17.8,7.0,3.21,3.0,1.38,0.43,0.0,4.0,1.84,,1.0,0.0,0.0,2.0,0.92,1.0,,,,,,,,,,,,0.0,119.0,,2.76,1.38,,6.0,1.95,0.1,0.22,,,,,,7.35,0.0,2.0,3.0,,0.0,0.0,,0.1,-0.22,0.24,0.52,,,4.0,117.0,4.0,12.0,10.0,1.0,15.0,11.0,8.0,11.0,8.0,2.0,3.0,2.0,14.0,4.0,14.0,12.0,3.0,10.0,14,7.0,4.0,11.0,2.0,2.0,6.0,9.0,1.0,8.0,5.0,15.0,9.0,1.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,3.0,3.0,11.0,11.0,11.0,12.0,12.0,1.0,14.0,5.58,149
,Baba Hamadu Musa,2000273254,ST (C),False Nine,Support,Speed,Heading,"AM (C), ST (C)",FC Samartex,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"5'6""",134 lbs,Right,23.0,Balanced,Media-friendly,$0 - $60K,3 (2),3.0,230.0,46.0,6.78,,,1.0,0.39,5.0,2.0,0.4,1.96,0.78,0.0,0.0,,2.0,1.0,0.0,,0.0,,1.0,0.39,77.0,30.13,63.0,24.65,0.82,11.0,1.0,,5.0,0.0,1.0,0.09,12.0,0.39,0.0,0.0,1.96,5.0,1.96,5.0,7.43,19.0,5.87,12.52,0.39,1.0,0.0,0.0,0.78,2.0,0.0,8.61,0.0,0.0,3.91,,0.0,0.2,,0.39,,0.2,4.3,0.39,0.0,1.96,2.0,19.4,26.0,10.17,4.0,1.57,0.15,0.0,11.0,4.3,,3.0,0.0,0.0,5.0,1.96,1.0,,,,,,,,,,,,0.0,81.0,,1.17,1.96,,3.0,1.45,0.39,1.0,90.0,,,,,,,,2.0,,2.0,1.0,,0.39,0.0,0.04,0.09,,0.0,27.0,75.0,28.0,9.0,14.0,2.0,13.0,7.0,6.0,1.0,5.0,3.0,1.0,3.0,8.0,3.0,8.0,14.0,1.0,9.0,8,7.0,7.0,8.0,9.0,3.0,1.0,7.0,2.0,7.0,12.0,13.0,10.0,1.0,12.0,7.0,11.0,7.0,6.0,6.0,14.0,3.0,3.0,8.0,9.0,12.0,13.0,9.0,3.0,14.0,5.5,134
Bid,Stephen Diyou,2000124966,AM (L),Winger,Attack,Speed,Team Player,AM (RL),Nsoatreman FC,,Ghana (Division One League),-,"$4,900 p/a",2026-07-31,GHA,,-,"5'5""",125 lbs,Right,21.0,Balanced,Media-friendly,$0 - $90K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,86.0,6.0,6.0,7.0,2.0,13.0,7.0,6.0,1.0,9.0,3.0,2.0,2.0,6.0,4.0,13.0,14.0,2.0,4.0,12,5.0,5.0,4.0,8.0,2.0,2.0,4.0,3.0,3.0,13.0,12.0,9.0,3.0,8.0,7.0,10.0,11.0,7.0,7.0,8.0,3.0,2.0,6.0,7.0,9.0,13.0,13.0,4.0,15.0,5.42,125
Inj,Latif Anabila,13173370,M (C),Central Midfielder,Support,Speed,Team Player,"DM, M (C)",Bechem Utd,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"5'10""",156 lbs,Right Only,28.0,Balanced,Media-friendly,$10K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,170.0,4.0,6.0,8.0,3.0,11.0,7.0,13.0,9.0,11.0,2.0,2.0,2.0,10.0,4.0,9.0,13.0,1.0,5.0,11,8.0,1.0,7.0,8.0,3.0,5.0,6.0,3.0,5.0,5.0,11.0,7.0,3.0,2.0,7.0,14.0,1.0,2.0,9.0,8.0,1.0,2.0,8.0,7.0,7.0,13.0,9.0,2.0,13.0,5.83,156
,Dacosta Owusu,13220358,GK,Goalkeeper,Defend,Unknown,,GK,Elmina Sharks,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"6'1""",169 lbs,Right,29.0,Balanced,Media-friendly,Unknown,5,5.0,450.0,90.0,6.7,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,134.0,26.8,63.0,12.6,0.47,,,,0.0,,,,1.0,,,,1.4,7.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.2,-0.28,,0.0,-1.38,9.2,,,,,0.0,,0.0,13.4,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.6,,13.0,2.6,0.0,-4.68,12.0,3.0,9.0,-0.02,1.0,0.0,,0.0,35.0,4.0,1.8,2.6,13.0,9.0,1.15,0.0,0.0,,4.0,,,,,,,1.0,,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,34.0,,,,7.0,,,,5.0,,9.0,13.0,15.0,8.0,,4.0,9.0,6.0,,7-9,,,,13.0,6.0,,,7.0,,,1.0,,6.0,,,11.0,1.0,,8.0,6.0,9.0,10.0,14.0,6.0,10.0,10.0,,14.0,12.0,6.08,169
,Slim Mhadhebi,12032720,AM (C),Attacking Midfielder,Support,Speed,Intelligence,"M (C), AM (LC)",CO Médenine,,Tunisia (Ligue 2),-,"$27,500 p/a",,TUN,,-,"5'11""",158 lbs,Left,31.0,,Scouting Required,Unknown,4,4.0,360.0,90.0,6.17,,,0.0,,7.0,1.0,0.14,1.75,0.25,0.0,0.0,,0.0,0.52,0.0,,0.0,,0.0,,80.0,20.0,52.0,13.0,0.65,0.0,0.0,,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.07,,0.0,,,0.0,0.0,0.0,,4.0,0.0,0.0,,,,,0.0,3.0,0.75,,4.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,195.0,,0.0,0.0,,0.0,1.3,0.13,0.52,,,,,,,,,0.0,,0.0,4.0,,0.13,-0.52,0.07,0.3,,,10.0,194.0,10.0,,,,,,,,,,,,,,,,,,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,158
,Abdelilah Hafidi,12064977,AM (C),Attacking Midfielder,Support,Technique,Athleticism,AM (RLC),MA Tétouan,,Morocco (Botola),-,"$141,000 p/a",,MAR,,-,"5'7""",149 lbs,Right,33.0,,Scouting Required,Unknown,2 (2),2.0,220.0,55.0,6.9,,,0.0,,2.0,2.0,1.0,0.82,0.82,0.0,0.0,,0.0,0.13,0.0,,0.0,,4.0,1.64,92.0,37.64,80.0,32.73,0.87,6.0,5.0,,3.0,0.0,1.0,0.83,5.0,0.82,0.0,0.0,1.64,4.0,2.05,5.0,12.68,31.0,4.5,26.18,1.64,4.0,2.05,5.0,2.45,6.0,0.0,5.32,0.41,0.0,8.18,,1.0,0.07,,1.23,0.41,,2.45,2.05,0.0,1.23,5.0,19.0,13.0,5.32,0.0,0.0,0.0,1.0,5.0,2.05,,4.0,0.0,0.0,5.0,2.05,3.0,,,,,,,,,,,,0.0,295.0,,0.0,0.82,,0.0,1.4,0.05,0.13,,,,,,,,,1.0,,1.0,2.0,,0.05,-0.13,0.13,0.31,,,52.0,292.0,52.0,,,,,,,,,,,,,,,,,,9-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,149
,Adrián Leites,78042731,AM (C),Attacking Midfielder,Support,Technique,Athleticism,"M/AM (C), ST (C)",O. Béja,,Tunisia (Ligue 1),-,"$71,000 p/a",2026-07-31,URU,,-,"5'10""",165 lbs,Right,33.0,,Scouting Required,$1.5K - $12K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,254.0,32.0,,,,,,,,,,,,,,,,,,8-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,165
,Benjamin Aloma,2000033719,D (L),Inverted Wing-Back,Support,Athleticism,Heading,D (L),Vision FC,,Ghana (Premier League),-,"$22,000 p/a",2027-07-31,GHA,,-,"5'9""",154 lbs,Left,23.0,,Scouting Required,$22K,3,3.0,176.0,58.67,6.47,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,1.0,0.51,0.0,,2.0,1.02,48.0,24.55,44.0,22.5,0.92,6.0,2.0,,1.0,0.0,0.0,0.33,9.0,0.0,0.0,0.0,3.07,6.0,3.58,7.0,7.16,14.0,7.16,4.6,1.02,2.0,1.02,2.0,3.07,6.0,0.0,0.51,0.51,0.0,8.69,,1.0,0.0,,1.02,0.51,,3.07,1.02,0.0,0.51,0.0,14.0,7.0,3.58,6.0,3.07,0.86,1.0,6.0,3.07,,8.0,1.0,0.0,1.0,0.51,2.0,,,,,,,,,,,,0.0,69.0,,0.51,1.53,,1.0,1.45,0.0,0.0,,,,,,,,,1.0,,1.0,1.0,,0.0,0.0,0.15,0.29,,,2.0,62.0,3.0,,,,,,12.0,,,,,,,,,,,,15-18,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.75,154
,Youssef Osama Nabih,2000019454,AM (C),Advanced Playmaker,Support,Skill,Athleticism,M/AM (C),Aswan,Pyramids,Egypt (Second Division A),-,"$31,500 p/a",2026-07-31,EGY,,-,"5'11""",160 lbs,Right,25.0,,Scouting Required,$0 - $45K,2,2.0,161.0,80.5,7.1,,,1.0,0.56,3.0,1.0,0.33,1.68,0.56,0.0,0.0,,0.0,0.08,1.0,0.56,0.0,,2.0,1.12,91.0,50.87,82.0,45.84,0.9,2.0,1.0,,2.0,0.0,0.0,0.5,3.0,1.68,0.0,0.0,2.24,4.0,2.8,5.0,10.06,18.0,12.86,13.98,1.12,2.0,0.56,1.0,1.12,2.0,0.0,4.47,0.0,0.56,7.27,,1.0,0.03,,2.8,0.56,0.33,1.12,0.56,0.0,1.12,2.0,12.9,9.0,5.03,1.0,0.56,0.11,0.0,0.0,0.0,,1.0,0.0,0.0,3.0,1.68,5.0,,,,,,,,,,,,0.0,37.0,,1.68,0.56,,3.0,1.6,0.04,0.08,0.0,,,,,,,,1.0,,0.0,1.0,,0.04,0.92,0.4,0.72,,0.0,1.0,37.0,1.0,,,,,,,,,,,,,,,,,,4-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,160
